OBJECTID,LABEL,ACRES,GlobalID,SHAPESTArea,SHAPESTLength
17522,N-2-2,5.64161759,{DFAAA0D8-4A8D-4D81-8BF6-3C887D213DFE},237126.618774414,2703.36158188539
17523,N-2-2,1.00073607,{954647E3-B852-437F-A6EB-45555FDF9813},43591.888671875,962.797490998829
17524,N-2-2,1.27024031,{822C740B-8F18-498E-9CA3-E15749956955},55331.4462280273,1073.00739223136
17525,N-2-2,1.41604193,{1AF4625A-61F5-4218-B222-01D9071F5C78},61682.5401000977,1144.3909343776
17526,N-2-2,3.44369155,{47A16056-700D-4073-9F56-683933802D13},150006.603759766,2258.53512244795
17527,N-2-2,1.4594775,{808CF721-0C0A-4B63-ABE8-513BBED588A6},63574.5858154297,1049.21985053444
17528,N-2-2,5.18083207,{A7EF3F90-E9C7-4386-A150-AD5C7B638ACB},225676.14239502,2816.06652384496
17529,N-2-2,1.32298164,{D4C7E070-CFC6-40DE-8EC0-3583B39CEE08},57628.8496704102,1048.99130346463
17530,N-2-2,6.54581815,{DFD0D463-3898-4BE8-93E3-F02834AB941B},285134.697692871,2608.78969490718
17531,N-2-2,2.14669447,{DECDFB09-3B2A-4A73-BE07-2CCD21701D0D},93509.6369628906,1682.511477311
17532,OS,2.53323587,{06D7FC8E-E015-4A40-9AE9-38F12F2A302B},110347.313049316,1329.93823332209
17533,N-2-2,2.07043768,{1586BD31-9733-469C-9121-10598A79B6B5},90187.9045410156,1431.77271181762
17534,N-2-2,2.4451772,{BD588520-3639-484F-B962-D82F388905D7},106511.492675781,1617.76569026771
17535,N-2-2,6.22701737,{DC5A54F6-ED51-47A9-92AC-C2995E2E357C},271247.791259766,3623.04522249321
17536,N-2-2,1.73438108,{D3939098-FEBA-4B5E-8533-A5BAE1E53BDF},75549.3377685547,1361.02959707902
17537,N-2-2,2.7956846,{3EED19A2-2630-45D0-926A-B698CABD59D9},121779.533691406,2048.37988118349
17538,N-2-2,2.00570385,{0CAEC166-DF99-4556-AA0F-76F409BAB3A8},87368.110168457,1640.65994146149
17539,N-2-2,3.61656299,{22A828D4-5944-411A-AB42-1B2F2179E22D},157536.853942871,1988.62649889505
17540,N-2-2,3.60797829,{31D647FD-E37D-4B2B-BE19-A7E29CE6DA8D},157162.905639648,1926.00996350904
17541,N-2-2,2.43353886,{D918202A-5B29-4284-987D-04CB220CBC9A},106004.528625488,1505.79651265183
17542,N-2-2,0.78731785,{E08151E8-9B00-451E-89B3-75FA889274A3},34295.4284667969,877.32275931442
17543,N-2-2,9.17327475,{674EEFB3-04E6-4518-AD04-A48522D91905},399586.249450684,3901.14509990269
17544,N-2-2,1.90314728,{4039A0ED-0F0E-4B3A-8DCE-72DD300C268E},82900.763671875,1427.64927603618
17545,N-2-2,5.51871429,{9EE343EB-226B-4FBD-B069-85774089C175},240394.232849121,3640.06731581958
17546,N-2-2,4.17420356,{6AA98E89-3274-428A-94C5-A17C989C2170},181827.579650879,2921.57815113143
17547,N-2-2,7.34699535,{4C0EFAAA-9A02-47A0-B74A-1BA59D387040},320033.837097168,2913.27789031009
17548,N-2-2,0.36523436,{68DFA7A1-487F-452E-9EE2-0EBAD40BF04C},15909.5451660156,615.840879363946
17549,N-2-2,6.21684695,{16EA7942-9AB2-41A7-BED6-7547437EF3F0},270804.769897461,2562.19307493865
17550,N-2-2,8.5511701,{D9D68EE2-5277-46C9-B50F-86FEAC8620CB},372487.479797363,4193.79452553485
17551,N-2-2,1.63878271,{EDF1A160-5EB7-4FBA-83BB-B57384909759},71385.0894775391,1123.60487662081
17552,N-2-2,5.28035174,{37365464-1DC3-4FA9-BE67-20F11076340B},230011.201904297,2378.76781382826
17553,N-2-2,3.16829261,{168DC589-A57B-438D-99F9-A55F5E53C74E},25094.7790527344,634.175148592215
17554,N-2-2,2.12559201,{82AF27E8-0376-4F1E-8B6E-378A54B16541},92590.4172363281,1701.56279140359
